     Tiempo (s)   Velocidad_real (m/s)   Velocidad_ruido (m/s)
       60.60000            62.77950057             61.23192217
       60.70000            62.77957087             60.29026146
       60.80000            62.77964008             59.22219958
       60.90000            62.77970820             65.77179682
       61.00000            62.77977526             64.08850657
       61.10000            62.77984127             62.66867193
       61.20000            62.77990625             63.33984350
       61.30000            62.77997022             60.52899212
       61.40000            62.78003318             67.67153714
       61.50000            62.78009516             63.03853753
       61.60000            62.78015618             62.99894577
       61.70000            62.78021624             64.23174948
       61.80000            62.78027536             63.74229382
       61.90000            62.78033355             63.22810160
       62.00000            62.78039084             61.19944193
       62.10000            62.78044724             63.72338395
       62.20000            62.78050275             66.54455174
       62.30000            62.78055739             65.47139748
       62.40000            62.78061118             65.96698444
       62.50000            62.78066413             61.75823278
       62.60000            62.78071626             60.80150662
       62.70000            62.78076756             62.52919372
       62.80000            62.78081807             62.89226790
       62.90000            62.78086779             64.96925083
       63.00000            62.78091673             59.39598747
       63.10000            62.78096491             65.84006555
       63.20000            62.78101233             62.46499653
       63.30000            62.78105901             61.92729687
       63.40000            62.78110496             60.75689621
       63.50000            62.78115020             59.47143686
       63.60000            62.78119473             64.42753590
       63.70000            62.78123856             62.92787449
       63.80000            62.78128171             60.20135991
       63.90000            62.78132418             60.19116664
       64.00000            62.78136599             62.10979659
       64.10000            62.78140715             66.11945020
       64.20000            62.78144766             62.26226496
       64.30000            62.78148754             59.77520163
       64.40000            62.78152680             62.29004067
       64.50000            62.78156544             62.23611830
       64.60000            62.78160348             57.38783020
       64.70000            62.78164093             62.67305119
       64.80000            62.78167779             62.31980873
       64.90000            62.78171407             64.17412680
       65.00000            62.78174979             66.47966198
       65.10000            62.78178495             65.03491501
       65.20000            62.78181956             62.24404218
       65.30000            62.78185363             60.56880181
       65.40000            62.78188717             67.92860677
       65.50000            62.78192018             62.90035705
       65.60000            62.78195268             62.80981126
       65.70000            62.78198467             62.73373449
       65.80000            62.78201616             63.17818568
       65.90000            62.78204715             62.49332633
       66.00000            62.78207767             61.63475365
       66.10000            62.78210770             61.68838982
       66.20000            62.78213727             62.71663073
       66.30000            62.78216638             61.69531683
       66.40000            62.78219503             61.35650346
       66.50000            62.78222323             62.99508368
       66.60000            62.78225099             62.27229656
       66.70000            62.78227832             65.79026430
       66.80000            62.78230522             57.48036560
       66.90000            62.78233170             64.96534540
       67.00000            62.78235777             65.27452815
       67.10000            62.78238343             58.63560296
       67.20000            62.78240869             62.09703350
       67.30000            62.78243355             62.03955182
       67.40000            62.78245803             59.96743464
       67.50000            62.78248212             61.22684874
       67.60000            62.78250584             60.56135415
       67.70000            62.78252918             66.28707007
       67.80000            62.78255216             64.65390895
       67.90000            62.78257479             65.32568498
       68.00000            62.78259706             64.22594118
       68.10000            62.78261898             60.52451543
       68.20000            62.78264056             61.73360002
       68.30000            62.78266180             63.76141092
       68.40000            62.78268271             60.33842709
       68.50000            62.78270329             64.20870015
       68.60000            62.78272355             62.30207275
       68.70000            62.78274349             62.03310188
       68.80000            62.78276313             64.20468306
       68.90000            62.78278245             63.67130908
       69.00000            62.78280148             62.06086915
       69.10000            62.78282020             65.10147981
       69.20000            62.78283864             60.62071198
       69.30000            62.78285679             64.01472800
       69.40000            62.78287465             63.96907716
       69.50000            62.78289223             62.16379935
       69.60000            62.78290954             63.43517559
       69.70000            62.78292658             60.28069943
       69.80000            62.78294335             64.63099739
       69.90000            62.78295986             62.41315559
       70.00000            62.78297611             61.73753007
       70.10000            62.78299211             64.88101056
       70.20000            62.78300786             61.37432048
